"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Cart state validation","0"
"0","Coffee Cart Application","0","Promo Discount","1","0","Promo discount declined","0"
"0","Coffee Cart Application","0","Checkout Validation","4","0","Invalid email validation","0"
"0","","1","Cart Hover Preview Dropdown","3","0","","0"
"0","","0","Quick Cart Preview","1","0","Verify that double-clicking on a coffee title translates it to Chinese","0"
"0","","0","Promo message after adding third coffee item","0","0","TC-13 Verify that promo message appears only after adding the third coffee item","1"
"1","","0","Promotional offer rejection","0","0","Promo drink is not added to cart after declining the offer","0"
"0","Coffee Cart Application","0","Payment Modal Prefilled Fields","3","0","","0"
"0","","0","Cart","1","0","","0"
"0","","0","Cart Management","8","0","","0"
"0","","0","Adjusting item quantity in the shopping cart","1","0","Increasing and decreasing Espresso quantity in the cart","0"
"0","","0","After completing an order, the cart should be empty.","2","0","Verify that the cart is empty after completing an order","0"
"1","","0","Cart item removal","0","0","Cart becomes empty after removing all added coffee items","0"
"0","","2","","3","0","","0"
"0","","0","Prefilled Fields After Closing the payment modal","3","0","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal","0"
"0","Coffee Cart Application","0","Promo Discount","1","0","Promo drink added to cart","0"
"0","","0","Coffee cup details and cart functionality","0","0","TC-43 Verify that Espresso Macchiato cup is displayed with correct data and can be added to the cart","1"
"0","","0","Quick Cart Preview","1","0","Verify that hovering over the Total button displays the quick cart preview on Desktop","0"
"1","","0","Impossibility of adding an extra discounted Mocha to the cart","0","0","Verify impossibility of adding extra discounted Mocha after adding 3 cups of coffee to the cart","0"
"0","Coffee Cart Application","0","Promo Discount","1","0","Discount appears after 3 cups","0"
"0","Coffee Cart Application","1","Promo Discount","0","0","Promo discount accepted","0"
"1","","0","Promotional drink offer removal after deleting qualifying items","0","0","Promotional Mocha disappears when all qualifying products are removed","0"
"0","","0","Payment details modal window behaviour","1","0","Closing and reopening the Payment details modal","0"
"1","","0","Quick cart preview","0","0","Display quick cart preview when hovering over the Total button","0"
"0","","0","Promo discount after three items","0","0","ToDo","1"
"0","","0","","1","0","Checkout flow","0"
"0","","0","Payment details modal window behaviour","1","0","Payment modal overlays the cart page content","0"
"0","","1","Cart Hover Preview","0","0","Verify that hovering over the Total button shows the cart preview with correct items","0"
"0","","0","Adding coffee to cart from Menu page","1","0","Clicking Espresso on Menu page immediately adds it to cart","0"
"0","Coffee Cart Application","0","Checkout Process","1","0","End-to-end checkout with promo offer","0"
"0","","0","Payment details modal window behaviour","1","0","Clicking Total button opens Payment details modal","0"
"0","","0","Payment Modal validations and submission","1","0","Verify successful checkout with promotional checkbox selected","0"
"0","","0","","1","0","Removing item from cart","0"
"0","Coffee Cart Application","1","Promo Discount","0","0","Discounted Mocha restrictions","0"
"0","","0","Cart item quantity update","0","0","TC-12 Verify that adding the same coffee multiple times updates quantity in Cart","1"
"0","","0","Payment Modal validations and submission","2","0","","0"
"0","","0","Payment Modal validations and submission","1","0","Verify payment form validation and successful submission without promo","0"
"0","","1","Adding an item to the cart using right-click context menu","0","0","Verify adding a cup of coffee to the cart using right-click on the card","0"
"0","","0","Adding Espresso updates cart contents and total","1","0","Adding Espresso to cart updates cart contents and total","0"
"0","Coffee Cart Application","0","Promo Discount","1","0","Promotional offer re-triggers","0"
