"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC01 & TC06: Verify adding coffee updates cart counter, hover preview, cart contents, and total price","871","verifyAddCoffeeToCartUpdatesContentsAndTotal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyAddCoffeeToCartUpdatesContentsAndTotal"
"Verify that payment modal fields remain pre-filled after closing and reopening the modal.Also verify that all entered values are cleared after page refresh.","1106","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","UI Tests","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal"
"","5748","Promo drink is not added to cart after declining the offer","","2026-06-05","broken","2026-06-05","","Promotional offer rejection","Promo drink is not added to cart after declining the offer",""
"","613","EmptyCartPageCheckTest","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","EmptyCartPageCheckTest"
"Verify that declining the promo discount closes the modal and cart count remains unchanged.","5654","verifyCartRemainsUnchangedAfterDecliningPromo","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyCartRemainsUnchangedAfterDecliningPromo"
"","700","verifyAddingCoffeeViaRightClickOnTheCard","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyAddingCoffeeViaRightClickOnTheCard"
"  As a customer
  I want to click the Total button to open a payment form","1276","Closing and reopening the Payment details modal","","2026-06-05","passed","2026-06-05","","Payment details modal window behaviour","Closing and reopening the Payment details modal",""
"  As a customer
  I want to add an item to my cart
  So I can review it and proceed to payment","1082","Adding Espresso to cart updates cart contents and total","","2026-06-05","passed","2026-06-05","","Adding Espresso updates cart contents and total","Adding Espresso to cart updates cart contents and total",""
"","6135","Verify that hovering over the Total button shows the cart preview with correct items","","2026-06-05","passed","2026-06-05","","Cart Hover Preview","Verify that hovering over the Total button shows the cart preview with correct items",""
"Verify that after completing a successful purchase the cart becomes empty and the success message is displayed.","6399","verifyCartIsEmptyAfterSuccessfulPurchase","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.EmptyCartPageTests","UI Tests","org.coffeecart5340.ui.EmptyCartPageTests","verifyCartIsEmptyAfterSuccessfulPurchase"
"Verify that payment modal fields remain pre-filled after closing and reopening the modal.Also verify that all entered values are cleared after page refresh.","1029","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","UI Tests","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal"
"Verify that adding a discounted Mocha via promo cannot be increased beyond 1, and total price is calculated correctly.","340","verifyImpossibilityOfAddingExtraDiscountedMochaAfterPromo","TestSuite","2026-06-05","broken","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyImpossibilityOfAddingExtraDiscountedMochaAfterPromo"
"  As a user, I want to ensure that after I complete an order, my cart is empty so that I can start fresh for my next purchase.","12221","Verify that the cart is empty after completing an order","","2026-06-05","passed","2026-06-05","","After completing an order, the cart should be empty.","Verify that the cart is empty after completing an order",""
"  As a customer
  I want to click on any coffee drink on the Menu page
  And have it instantly added to my cart","6183","Clicking Espresso on Menu page immediately adds it to cart","","2026-06-05","passed","2026-06-05","","Adding coffee to cart from Menu page","Clicking Espresso on Menu page immediately adds it to cart",""
"Verify checkout email validation behavior when invalid email formats are used.","494","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"","597","TC-43 Verify that Espresso Macchiato cup is displayed with correct data and can be added to the cart","","2026-06-05","unknown","2026-06-05","","Coffee cup details and cart functionality","TC-43 Verify that Espresso Macchiato cup is displayed with correct data and can be added to the cart",""
"TC-14 - Verify that user can navigate between Menu and Cart pages using header links","5468","verifyNavigation","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.HeaderNavigationTest","UI Tests","org.coffeecart5340.ui.HeaderNavigationTest","verifyNavigation"
"  As a user, I want to ensure that when I add a discounted Mocha to the cart after adding 3 random items, I cannot add another one at the same discounted price, so that I can only benefit from the discount once per order.","11785","Verify impossibility of adding extra discounted Mocha after adding 3 cups of coffee to the cart","","2026-06-05","broken","2026-06-05","","Impossibility of adding an extra discounted Mocha to the cart","Verify impossibility of adding extra discounted Mocha after adding 3 cups of coffee to the cart",""
"  As a customer
  I want to click the Total button to open a payment form","1116","Payment modal overlays the cart page content","","2026-06-05","passed","2026-06-05","","Payment details modal window behaviour","Payment modal overlays the cart page content",""
"","315","headerTest","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.TestExample","UI Tests","org.coffeecart5340.ui.TestExample","headerTest"
"","6296","Verify item removal and total recalculation when decreasing quantity to zero via minus button","","2026-06-05","passed","2026-06-05","","Item removal and total recalculation when decreasing quantity to zero","Verify item removal and total recalculation when decreasing quantity to zero via minus button",""
"","5710","Promotional Mocha disappears when all qualifying products are removed","","2026-06-05","broken","2026-06-05","","Promotional drink offer removal after deleting qualifying items","Promotional Mocha disappears when all qualifying products are removed",""
"  As a user, I want to ensure that if I fill in the fields in the purchase modal and then close it, the information I entered remains prefilled when I reopen the modal.","6600","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal","","2026-06-05","passed","2026-06-05","","Prefilled Fields After Closing the payment modal","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal",""
"  As a customer
  I want to click the Total button to open a payment form","1087","Clicking Total button opens Payment details modal","","2026-06-05","passed","2026-06-05","","Payment details modal window behaviour","Clicking Total button opens Payment details modal",""
"Verify that adding two items updates cart count to 2 and removing all items one by one displays the empty cart message.","902","verifyCartShowsEmptyMessageAfterRemovingAllItems","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.EmptyCartPageTests","UI Tests","org.coffeecart5340.ui.EmptyCartPageTests","verifyCartShowsEmptyMessageAfterRemovingAllItems"
"TC-31: Verify that promo drink is added to cart after clicking agree button.","552","verifyPromoDrinkIsAddedToCartAfterClickingAgree","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyPromoDrinkIsAddedToCartAfterClickingAgree"
"","454","verifyThatTotalButtonOpensPaymentDetailsModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalOpenCloseTest","UI Tests","org.coffeecart5340.ui.PaymentModalOpenCloseTest","verifyThatTotalButtonOpensPaymentDetailsModal"
"Verify checkout email validation behavior when invalid email formats are used.","568","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"Verify checkout email validation behavior when invalid email formats are used.","575","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"TC-056: Verify promotional offer triggers again if cart quantity falls below threshold and reaches multiple of 3 again.","6233","verifyPromotionalOfferTriggersAgainAfterCartQuantityDrop","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyPromotionalOfferTriggersAgainAfterCartQuantityDrop"
"Verify that payment modal fields remain pre-filled after closing and reopening the modal.Also verify that all entered values are cleared after page refresh.","1081","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","UI Tests","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal"
"Verify successful end-to-end checkout process after accepting promotional offer and modifying cart via hover preview","2644","testSuccessfulCheckoutWithPromo","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutWithPromoTest","UI Tests","org.coffeecart5340.ui.CheckoutWithPromoTest","testSuccessfulCheckoutWithPromo"
"Verify that accepting the promo discount adds a free Mocha to the cart and total item count becomes 4.","891","verifyPromoItemIsAddedAfterAcceptingDiscount","TestSuite","2026-06-05","failed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyPromoItemIsAddedAfterAcceptingDiscount"
"Verify checkout email validation behavior when invalid email formats are used.","528","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"","576","ToDo","","2026-06-05","unknown","2026-06-05","","Promo discount after three items","ToDo",""
"TC-02: Verify cart item quantity updates using '+' and '-' buttons on Cart page","681","verifyCartItemQuantityButtonsOnCartPage","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyCartItemQuantityButtonsOnCartPage"
"","2277","Verify payment form validation and successful submission without promo","","2026-06-05","passed","2026-06-05","","Payment Modal validations and submission","Verify payment form validation and successful submission without promo",""
"","210","testListItemComponent","TestSuite","2026-06-05","failed","2026-06-05","org.coffeecart5340.ui.TestExample","UI Tests","org.coffeecart5340.ui.TestExample","testListItemComponent"
"TC-057: Verify promotional offers trigger after 3 initial cups and 2 subsequent cups, and validate cart preview updates","1512","verifyCartPreviewUpdatesAndPromotionalOffers","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","verifyCartPreviewUpdatesAndPromotionalOffers"
"TC-12: Verify that adding the same coffee multiple times from the Menu updates quantity in Cart","657","verifyUpdatesQuantityInCartFromMenuPage","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyUpdatesQuantityInCartFromMenuPage"
"","580","TC-13 Verify that promo message appears only after adding the third coffee item","","2026-06-05","unknown","2026-06-05","","Promo message after adding third coffee item","TC-13 Verify that promo message appears only after adding the third coffee item",""
"Known bug: '+' button for discounted item is not disabled on Cart page. Expected: increase quantity button should be disabled for '(Discounted) Mocha'. Actual: button remains enabled after accepting discount offer.","821","verifyIncreaseQuantityButtonIsDisabledForDiscountedItems","TestSuite","2026-06-05","failed","2026-06-05","org.coffeecart5340.ui.DiscountedItemIncreaseButtonDisabledTest","UI Tests","org.coffeecart5340.ui.DiscountedItemIncreaseButtonDisabledTest","verifyIncreaseQuantityButtonIsDisabledForDiscountedItems"
"","907","verifyEspressoMacchiatoCupIsDisplayedWithCorrectDataAndCanBeAddedToCart","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyEspressoMacchiatoCupIsDisplayedWithCorrectDataAndCanBeAddedToCart"
"  As a user, I want to be able to add items to my cart by right-clicking on them and selecting ""Add to Cart"" from the context menu, so that I can quickly add items without having to left-click first.","6255","Verify adding a cup of coffee to the cart using right-click on the card","","2026-06-05","failed","2026-06-05","","Adding an item to the cart using right-click context menu","Verify adding a cup of coffee to the cart using right-click on the card",""
"","1508","Verify payment form validation and successful submission without promo","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalCheckoutTest","UI Tests","org.coffeecart5340.ui.PaymentModalCheckoutTest","testPaymentFormValidations"
"","5724","Display quick cart preview when hovering over the Total button","","2026-06-05","broken","2026-06-05","","Quick cart preview","Display quick cart preview when hovering over the Total button",""
"TC-54: Verify item removal and total recalculation when decreasing quantity to zero via minus button","5560","verifyItemRemovalWhenDecreasingQuantityToZero","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyItemRemovalWhenDecreasingQuantityToZero"
"","17341","Verify promotional offers trigger after 3 initial cups and 2 subsequent cups, and validate cart preview updates","","2026-06-05","passed","2026-06-05","","Promotional offers trigger after 3 initial cups and 2 subsequent cups, with cart preview validation","Verify promotional offers trigger after 3 initial cups and 2 subsequent cups, and validate cart preview updates",""
"  As a user, I want to hover over the checkout button to quickly see my items","6349","Verify that double-clicking on a coffee title translates it to Chinese","","2026-06-05","passed","2026-06-05","","Quick Cart Preview","Verify that double-clicking on a coffee title translates it to Chinese",""
"","682","verifyThatDoubleClickingOnACoffeeTitleTranslatesItToChinese","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.DoubleClickTranslatingTest","UI Tests","org.coffeecart5340.ui.DoubleClickTranslatingTest","verifyThatDoubleClickingOnACoffeeTitleTranslatesItToChinese"
"  As a user, I want to ensure that if I fill in the fields in the purchase modal and then close it, the information I entered remains prefilled when I reopen the modal.","6872","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal","","2026-06-05","passed","2026-06-05","","Prefilled Fields After Closing the payment modal","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal",""
"  As a user, I want to ensure that after I complete an order, my cart is empty so that I can start fresh for my next purchase.","12158","Verify that the cart is empty after completing an order","","2026-06-05","passed","2026-06-05","","After completing an order, the cart should be empty.","Verify that the cart is empty after completing an order",""
"Verify that hovering over the Total button shows the cart preview with correct items","5571","testTotalButtonPreviewOnHover","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","testTotalButtonPreviewOnHover"
"","951","Verify successful checkout with promotional checkbox selected","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalCheckoutTest","UI Tests","org.coffeecart5340.ui.PaymentModalCheckoutTest","testPaymentFormWithPromoCheckbox"
"","6121","Verify that the Cart Preview accurately reflects the added item and its quantity upon hover","","2026-06-05","passed","2026-06-05","","Cart Preview accurately reflects added item and quantity upon hover","Verify that the Cart Preview accurately reflects the added item and its quantity upon hover",""
"Verify that removing the only product from the cart updates the cart state to empty and displays the appropriate message.","5615","verifyRemovingItemFromTheCartUpdatesTheTotalAndCartState","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.EmptyCartPageTests","UI Tests","org.coffeecart5340.ui.EmptyCartPageTests","verifyRemovingItemFromTheCartUpdatesTheTotalAndCartState"
"  As a user, I want to hover over the checkout button to quickly see my items","11277","Verify that hovering over the Total button displays the quick cart preview on Desktop","","2026-06-05","passed","2026-06-05","","Quick Cart Preview","Verify that hovering over the Total button displays the quick cart preview on Desktop",""
"","5720","Cart becomes empty after removing all added coffee items","","2026-06-05","broken","2026-06-05","","Cart item removal","Cart becomes empty after removing all added coffee items",""
"","561","TC-12 Verify that adding the same coffee multiple times updates quantity in Cart","","2026-06-05","unknown","2026-06-05","","Cart item quantity update","TC-12 Verify that adding the same coffee multiple times updates quantity in Cart",""
"TC01 & TC06: Verify adding coffee updates cart counter, hover preview, cart contents, and total price","736","verifyAddCoffeeToCartUpdatesContentsAndTotal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyAddCoffeeToCartUpdatesContentsAndTotal"
"Verify that a discount section appears automatically after adding three cups of the same coffee to the cart.","716","verifyDiscountAppearsAfterThreeCupsOnTheCartPage","TestSuite","2026-06-05","broken","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyDiscountAppearsAfterThreeCupsOnTheCartPage"
"","11766","Verify promotional offer triggers again if cart quantity falls below threshold and reaches multiple of 3 again","","2026-06-05","passed","2026-06-05","","Promotional offer re-triggers after cart quantity drops below threshold and rises again","Verify promotional offer triggers again if cart quantity falls below threshold and reaches multiple of 3 again",""
"  As a user, I want to ensure that if I fill in the fields in the purchase modal and then close it, the information I entered remains prefilled when I reopen the modal.","6596","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal","","2026-06-05","passed","2026-06-05","","Prefilled Fields After Closing the payment modal","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal",""
"Verify discount disappears after decreasing quantity below threshold","1374","verifyDiscountIsNoLongerAvailableAfterDecreasingCartQuantity","TestSuite","2026-06-05","failed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","verifyDiscountIsNoLongerAvailableAfterDecreasingCartQuantity"
"  As a customer
  I want to adjust the quantity of each item in my cart","1547","Increasing and decreasing Espresso quantity in the cart","","2026-06-05","passed","2026-06-05","","Adjusting item quantity in the shopping cart","Increasing and decreasing Espresso quantity in the cart",""
"","1814","Verify successful checkout with promotional checkbox selected","","2026-06-05","passed","2026-06-05","","Payment Modal validations and submission","Verify successful checkout with promotional checkbox selected",""
"","5696","CartPreviewCheck","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","CartPreviewCheck"
