"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Payment Modal validations and submission","0","1","","0"
"0","Coffee Cart Application","0","Payment Modal Prefilled Fields","3","0","","0"
"0","","5","","12","0","","0"
"0","","3","Cart","1","0","","0"
"0","","1","Cart Hover Preview","0","0","","0"
"0","Coffee Cart Application","1","Discount System","0","0","Discount appears after 3 cups","0"
"0","Coffee Cart Application","0","Checkout Validation","4","0","Invalid email validation","0"
"0","Coffee Cart Application","0","Cart Functionality","1","0","Removing item from cart","0"
"0","Coffee Cart Application","0","Checkout Process","1","0","End-to-end checkout with promo offer","0"
"0","Coffee Cart Application","0","Promo Discount","1","0","Promo appears after adding 3 items","0"
